iteration,x value,y value
1.0,0.0,2.0,1.0
2.0,0.1,2.1248622784830187,0.9820122484155861
3.0,0.2,2.259681760838203,0.9681109292258444
4.0,0.30000000000000004,2.4047584491829066,0.958421218477566
5.0,0.4,2.5603034076933646,0.9531163608211237
6.0,0.5,2.7264032882491867,0.9524249143677107
7.0,0.6,2.902976860996228,0.9566390109978594
8.0,0.7,3.0897223386576282,0.966123639285641
9.0,0.7999999999999999,3.286054406642956,0.9813268298007862
10.0,0.8999999999999999,3.4910302223511245,1.0027904081804953
11.0,0.9999999999999999,3.7032643642379206,1.031160637324855
12.0,1.0999999999999999,3.920833985684396,1.067197540562418
13.0,1.2,4.141177509107359,1.1117809164024122
14.0,1.3,4.360993372358901,1.165909957189486
15.0,1.4000000000000001,4.576149887741067,1.2306919323944077
16.0,1.5000000000000002,4.7816233236669845,1.3073136420939138
17.0,1.6000000000000003,4.971488606948501,1.3969875206463884
18.0,1.7000000000000004,5.138994520934463,1.5008629331085495
19.0,1.8000000000000005,5.276760604232079,1.619893397978587
20.0,1.9000000000000006,5.377132098465763,1.7546537845779138
21.0,2.0000000000000004,5.432716666857044,1.9051099039271777
22.0,2.1000000000000005,5.437096569513216,2.070357804712806
23.0,2.2000000000000006,5.385660384863115,2.248370918512396
24.0,2.3000000000000007,5.276435808194639,2.435815316929386
25.0,2.400000000000001,5.110749144534184,2.6280069452575403
26.0,2.500000000000001,4.8935183661556545,2.819076996897667
27.0,2.600000000000001,4.6330333256663785,3.0023736988200875
28.0,2.700000000000001,4.3401936352096095,3.1710649217331572
29.0,2.800000000000001,4.027327911600835,3.318837875576003
30.0,2.9000000000000012,3.7068439348101285,3.440550950183319
31.0,3.0000000000000013,3.389999416684881,3.532700989414864
32.0,3.1000000000000014,3.0860217495842575,3.5936249002768803
33.0,3.2000000000000015,2.8016781549455203,3.623431480364811
34.0,3.3000000000000016,2.5412663895438454,3.623724556181215
35.0,3.4000000000000017,2.3069094273086184,3.597210793447021
