iteration,x value,y value
1.0,0.0,673.0
2.0,1.0,666.7661583770278
3.0,2.0,660.6949797226315
4.0,3.0,654.7794292358566
5.0,4.0,649.0129170884007
6.0,5.0,643.3892618955796
7.0,6.0,637.9026578317837
8.0,7.0,632.5476449650838
9.0,8.0,627.3190824422246
10.0,9.0,622.2121242034129
11.0,10.0,617.2221969474347
12.0,11.0,612.3449801028578
13.0,12.0,607.5763875913332
14.0,13.0,602.9125511950623
15.0,14.0,598.3498053630067
16.0,15.0,593.8846733098962
17.0,16.0,589.5138542790107
18.0,17.0,585.2342118544208
19.0,18.0,581.0427632212125
20.0,19.0,576.9366692834369
21.0,20.0,572.9132255593535
22.0,21.0,568.969853782162
23.0,22.0,565.1040941420099
24.0,23.0,561.3135981117459
25.0,24.0,557.5961218048001
26.0,25.0,553.9495198187957
27.0,26.0,550.3717395231287
28.0,27.0,546.8608157528635
29.0,28.0,543.4148658749513
30.0,29.0,540.0320851960342
31.0,30.0,536.7107426840067
32.0,31.0,533.4491769781032
33.0,32.0,530.2457926646065
34.0,33.0,527.099056797357
35.0,34.0,524.0074956441106
36.0,35.0,520.9696916414799
37.0,36.0,517.9842805427033
38.0,37.0,515.0499487438528
39.0,38.0,512.1654307753247
40.0,39.0,509.3295069465666
41.0,40.0,506.54100113300547
42.0,41.0,503.7987786950499
43.0,42.0,501.1017445198706
44.0,43.0,498.4488411774112
45.0,44.0,495.83904718276756
46.0,45.0,493.2713753576919
47.0,46.0,490.7448712845476
48.0,47.0,488.2586118465539
49.0,48.0,485.8117038486327
50.0,49.0,483.40328271360033
51.0,50.0,481.03251124883997
52.0,51.0,478.6985784789523
53.0,52.0,476.400698540212
54.0,53.0,474.1381096329605
55.0,54.0,471.91007302834487
56.0,55.0,469.71587212606687
57.0,56.0,467.5548115600432
58.0,57.0,465.42621634909335
59.0,58.0,463.329431089971
60.0,59.0,461.2638191902397
61.0,60.0,459.22876213866186
62.0,61.0,457.2236588109286
63.0,62.0,455.247924808701
64.0,63.0,453.300991830068
65.0,64.0,451.38230706965146
66.0,65.0,449.49133264670064
67.0,66.0,447.62754505962823
68.0,67.0,445.7904346655361
69.0,68.0,443.9795051833721
70.0,69.0,442.1942732194436
71.0,70.0,440.43426781409266
72.0,71.0,438.6990300084119
73.0,72.0,436.988112429947
74.0,73.0,435.30107889639726
75.0,74.0,433.6375040363841
76.0,75.0,431.99697292641247
77.0,76.0,430.3790807432027
78.0,77.0,428.78343243061727
79.0,78.0,427.20964238045343
80.0,79.0,425.65733412641305
81.0,80.0,424.1261400506021
82.0,81.0,422.6157011019471
83.0,82.0,421.1256665259522
84.0,83.0,419.6556936052514
85.0,84.0,418.20544741044046
86.0,85.0,416.77460056070356
87.0,86.0,415.36283299377294
88.0,87.0,413.96983174478777
89.0,88.0,412.59529073363984
90.0,89.0,411.2389105604168
91.0,90.0,409.90039830857376
92.0,91.0,408.57946735548336
93.0,92.0,407.2758371900336
94.0,93.0,405.9892332369583
95.0,94.0,404.71938668760305
96.0,95.0,403.46603433684356
97.0,96.0,402.2289184258874
98.0,97.0,401.00778649070537
99.0,98.0,399.8023912158493
100.0,99.0,398.6124902934268
101.0,100.0,397.4378462870138
102.0,101.0,396.2782265002976
103.0,102.0,395.1334028502513
104.0,103.0,394.00315174465265
105.0,104.0,392.88725396376736
106.0,105.0,391.7854945460258
107.0,106.0,390.6976626775317
108.0,107.0,389.62355158524656
109.0,108.0,388.5629584337031
110.0,109.0,387.5156842251063
111.0,110.0,386.4815337026883
112.0,111.0,385.46031525718826
113.0,112.0,384.4518408363358
114.0,113.0,383.45592585722073
115.0,114.0,382.4723891214374
116.0,115.0,381.501052732898
117.0,116.0,380.5417420182122
118.0,117.0,379.59428544953624
119.0,118.0,378.65851456979897
120.0,119.0,377.734263920215
121.0,120.0,376.8213709700008
122.0,121.0,375.9196760482118
123.0,122.0,375.0290222776227
124.0,123.0,374.14925551057723
125.0,124.0,373.2802242667347
126.0,125.0,372.42177967264575
127.0,126.0,371.57377540309193
128.0,127.0,370.73606762412567
129.0,128.0,369.90851493775114
130.0,129.0,369.090978328188
131.0,130.0,368.28332110966255
132.0,131.0,367.48540887567356
133.0,132.0,366.6971094496817
134.0,133.0,365.9182928371736
135.0,134.0,365.14883117905384
136.0,135.0,364.3885987063194
137.0,136.0,363.6374716959741
138.0,137.0,362.89532842814066
139.0,138.0,362.16204914433064
140.0,139.0,361.43751600683447
141.0,140.0,360.72161305919394
142.0,141.0,360.0142261877219
143.0,142.0,359.31524308403533
144.0,143.0,358.62455320856895
145.0,144.0,357.9420477550372
146.0,145.0,357.26761961581514
147.0,146.0,356.6011633482082
148.0,147.0,355.9425751415835
149.0,148.0,355.29175278533455
150.0,149.0,354.64859563765435
151.0,150.0,354.0130045950911
152.0,151.0,353.3848820628624
153.0,152.0,352.7641319259047
154.0,153.0,352.1506595206355
155.0,154.0,351.54437160740673
156.0,155.0,350.945176343628
157.0,156.0,350.35298325753996
158.0,157.0,349.76770322261814
159.0,158.0,349.18924843258884
160.0,159.0,348.6175323770382
161.0,160.0,348.05246981759774
162.0,161.0,347.4939767646894
163.0,162.0,346.9419704548133
164.0,163.0,346.396369328363
165.0,164.0,345.85709300795276
166.0,165.0,345.32406227724255
167.0,166.0,344.79719906024604
168.0,167.0,344.27642640110855
169.0,168.0,343.7616684443409
170.0,169.0,343.25285041549733
171.0,170.0,342.7498986022844
172.0,171.0,342.2527403360891
173.0,172.0,341.76130397391483
174.0,173.0,341.2755188807136
175.0,174.0,340.7953154121044
176.0,175.0,340.3206248974662
177.0,176.0,339.8513796233964
178.0,177.0,339.3875128175245
179.0,178.0,338.9289586326715
180.0,179.0,338.4756521313458
181.0,180.0,338.02752927056684
